Lab.ID	BIOCYC.ID	Compound.name	mz	RT	CAS.ID	HMDB.ID	KEGG.ID	Formula	mz.pos	mz.neg	Submitter	Synonyms	monisotopic_molecular_weight	SMILES.ID	INCHI.ID	INCHIKEY.ID	Kingdom	Super_class	Class	Sub_class	direct_parent	molecular_framework	classyfire_status	classyfire_source	source
CPD-18719	CPD-18719	D-fructofuranose 6-phosphate	260.0297185262					C6H11O9P			plantcyc <https://plantcyc.org/>		260.0297185262	C(OP(=O)([O-])[O-])[C@H]1(OC(CO)(O)[C@@H](O)[C@H](O)1)		BGWGXPAPYGQALX-VRPWFDPXSA-L									PlantCyc/PMN local PGDB
Heme-d1	Heme-d1	heme d 1	712.146785369					C34H26N4O10FE			plantcyc <https://plantcyc.org/>		712.146785369	CC6(\C(/CCC(=O)[O-])=C7(\C=C8(C(/C=C/C([O-])=O)=C(C)/C1(/N([Fe-2]35(N(C(/C=C4(C(=O)[C@@](CC(=O)[O-])(C)C(\C=C2(C(=O)[C@](C)(CC([O-])=O)C(\C=1)=[N+]2/3))=[N+]4/5))=6)7))8))))		YTCKFKAUGWIMPJ-FSQDTXDGSA-H									PlantCyc/PMN local PGDB
CPD-19814	CPD-19814	tuberonic acid glucoside	388.1733324977					C18H27O9			plantcyc <https://plantcyc.org/>	12-hydroxyjasmonate 12- O -beta-D-glucoside	388.1733324977	C(O[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)1))C\C=C/CC2(C(=O)CCC2CC([O-])=O)		JFDNMLUPLXZXGV-CTVCMHGRSA-M									PlantCyc/PMN local PGDB
Phycocyanobilins	Phycocyanobilins	a phycocyanobilin	586.2791349732					C33H36N4O6			plantcyc <https://plantcyc.org/>	a phycobiliverdin	586.2791349732	C/C=C1([C@@H](C)C(NC\1=C/C4(/NC(/C=C3(C(/CCC([O-])=O)=C(C)/C(\C=C2(C(/C)=C(CC)/C(=O)N2))=N\3))=C(CCC([O-])=O)/C(\C)=4))=O)		INPDFIMLLXXDOQ-MKLOKSPTSA-L									PlantCyc/PMN local PGDB
CPD-478	CPD-478	1-pyrroline-5-carboxylate	113.0476784741					C5H6NO2			plantcyc <https://plantcyc.org/>	3,4-dihydro-2H-pyrrole-2-carboxylate	113.0476784741	C1(\CCC(\N=1)C(=O)[O-])		DWAKNKKXGALPNW-UHFFFAOYSA-M									PlantCyc/PMN local PGDB
Phosphoserines	Phosphoserines	L(or D)- O -phosphoserine	185.0089235046					C3H5NO6P			plantcyc <https://plantcyc.org/>	a phosphoserine	185.0089235046	C(OP(=O)([O-])[O-])C(N)C([O-])=O		BZQFBWGGLXLEPQ-UHFFFAOYSA-K									PlantCyc/PMN local PGDB
D-galactofuranose	D-galactofuranose	D-galactofuranose	180.0633881178					C6H12O6			plantcyc <https://plantcyc.org/>		180.0633881178	C(O)[C@@H](O)[C@H]1([C@H](O)[C@@H](O)C(O1)O)		AVVWPBAENSWJCB-RSVSWTKNSA-N									PlantCyc/PMN local PGDB
L-Iduronate	L-Iduronate	L-iduronate	194.0426526757					C6H9O7			plantcyc <https://plantcyc.org/>		194.0426526757	C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-]		IAJILQKETJEXLJ-SKNVOMKLSA-M									PlantCyc/PMN local PGDB
RIBOSE-5P	RIBOSE-5P	D-ribose 5-phosphate	230.0191538399					C5H9O8P			plantcyc <https://plantcyc.org/>	D-ribose-5-phosphoric acid // ribose-5-phosphoric acid // ribose-5P // D-ribose-5-P // ribose-5-P // D-ribose 5'-phosphate	230.0191538399	C(=O)[C@H](O)[C@H](O)[C@@H](COP([O-])([O-])=O)O											PlantCyc/PMN local PGDB
D-Mannosamines	D-Mannosamines	D-mannosamine	179.079372533					C6H14NO5			plantcyc <https://plantcyc.org/>	2-amino-2-deoxy-D-Mannose	179.079372533	C(O)[C@@H]1([C@@H](O)[C@H](O)[C@H]([NH3+])C(O)O1)		MSWZFWKMSRAUBD-CBPJZXOFSA-O									PlantCyc/PMN local PGDB
CPD-8475	CPD-8475	2-hydroxyhexadecanoate	272.2351448935					C16H31O3			plantcyc <https://plantcyc.org/>	2-hydroxyhexadecanoic acid // 2-hydroxypalmitate // 2-hydroxypalmitic acid	272.2351448935	CCCCCCCCCCCCCCC(O)C([O-])=O		JGHSBPIZNUXPLA-UHFFFAOYSA-M									PlantCyc/PMN local PGDB
N-acetyl-alpha-D-hexosamines	N-acetyl-alpha-D-hexosamines	an N-acetyl-alpha-D-hexosamine	221.0899372193					C8H15NO6			plantcyc <https://plantcyc.org/>		221.0899372193	CC(NC1(C(C([C@H](O[C@@H]1O)CO)O)O))=O		OVRNDRQMDRJTHS-HOJWEIHESA-N									PlantCyc/PMN local PGDB
CPD0-2227	CPD0-2227	an octadecenoyl-CoA (n-C18:1CoA)	1031.3605240149					C39H64N7O17P3S			plantcyc <https://plantcyc.org/>		1031.3605240149	CCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]		NBCCUIHOHUKBMK-LFZQUHGESA-J									PlantCyc/PMN local PGDB
CPD0-2228	CPD0-2228	a tetradecenoyl-CoA (n-C14:1CoA)	975.2979237581					C35H56N7O17P3S			plantcyc <https://plantcyc.org/>		975.2979237581	CCCCCC/C=C/CCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]		JPIHVKICKVPFFY-QSGBVPJFSA-J									PlantCyc/PMN local PGDB
Thiazoles	Thiazoles	a thiazole	84.9986197915					C3H3NS			plantcyc <https://plantcyc.org/>		84.9986197915	C1(\N=C/S\C=1)											PlantCyc/PMN local PGDB
UDP-L-arabinopyranose	UDP-L-arabinopyranose	UDP-L-arabinopyranose	536.0444556902					C14H20N2O16P2			plantcyc <https://plantcyc.org/>		536.0444556902	C3(OC(OP(OP(OC[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(=O)NC1=O))O2)O)O))(=O)[O-])(=O)[O-])[C@H](O)[C@@H](O)[C@@H](O)3)		DQQDLYVHOTZLOR-OKQNPRBNSA-L									PlantCyc/PMN local PGDB
HEME_A	HEME_A	heme a	854.3705777152					C49H54N4O6FE			plantcyc <https://plantcyc.org/>		854.3705777152	C=CC4(\C6(/C=C8(C(/C)=C(CCC(=O)[O-])/C1(/N([Fe]35([N+]2(\C(/C(/C=O)=C(CCC(=O)[O-])\C(/C=1)=2)=C/C7(/N3C(\C=C(C(/C)=4)/[N+]\5=6)=C(C(/C)=7)/[C@@H](O)CC/C=C(C)/CC/C=C(C)/CCC=C(C)C))))8))))		RRJCKGQQRUXGQR-PRYGPKJJSA-J									PlantCyc/PMN local PGDB
Vernolates	Vernolates	vernolate	296.2351448935					C18H31O3			plantcyc <https://plantcyc.org/>	12,13-epoxy-9-cis-octadecenoic acid // 12,13-epoxy-9-cis-octadecenoate // vernolic acid // (9Z)-11-(3-pentyloxiran-2-yl)undec-9-enoic acid // (9Z)-11-(3-pentyloxiran-2-yl)undec-9-enoic acids // 12(13)-EpOME // (9Z)-12,13-epoxyoctadecenoic acid // 12,13-cis-epoxyoctadecenoic acid // cis-12,13-ep, 9c-18:1 // cis-12,13-epoxy-9-octadecenoic acid // isoleukotoxin // (+/-)12(13)-EpOME // (+/-)vernolate	296.2351448935	CCCCCC1(OC(C\C=C/CCCCCCCC(=O)[O-])1)		CCPPLLJZDQAOHD-FLIBITNWSA-M									PlantCyc/PMN local PGDB
DEOXY-RIBOSE-5P	DEOXY-RIBOSE-5P	2-deoxy-D-ribose 5-phosphate	214.0242392178					C5H9O7P			plantcyc <https://plantcyc.org/>		214.0242392178	C(OP([O-])(=O)[O-])[C@@H]1([C@@H](O)CC(O)O1)		KKZFLSZAWCYPOC-PYHARJCCSA-L									PlantCyc/PMN local PGDB
Retinals	Retinals	a retinal	284.2140155209					C20H28O			plantcyc <https://plantcyc.org/>	Vitamin A // Vitamin A1	284.2140155209	CC(/C=C/C1(/C(C)(C)CCCC(/C)=1))=C\C=C\C(/C)=C\C=O											PlantCyc/PMN local PGDB
CPD0-1561	CPD0-1561	selenocysteine	168.9642002741					C3H7NO2SE			plantcyc <https://plantcyc.org/>	3-selenyl-alanine // D,L-selenocysteine // selenium-cystine	168.9642002741	C([SeH])C([NH3+])C([O-])=O		ZKZBPNGNEQAJSX-UHFFFAOYSA-N									PlantCyc/PMN local PGDB
25-DIAMINOPENTANOATE	25-DIAMINOPENTANOATE	ornithine	132.0898776398					C5H13N2O2			plantcyc <https://plantcyc.org/>	2,5-diaminopentanoate	132.0898776398	C(C[NH3+])CC([NH3+])C([O-])=O											PlantCyc/PMN local PGDB
