reaction_id	PlantCyc.ID	side
TRANS-RXN0-237	Ubiquinones	left
TRANS-RXN0-237	PROTON	left
TRANS-RXN0-237	E-	left
TRANS-RXN0-237	Ubiquinols	right
2.4.1.222-RXN	UDP-N-ACETYL-D-GLUCOSAMINE	left
2.4.1.222-RXN	EGF-Domain-Protein-Fuc-Ser-Thr	left
2.4.1.222-RXN	UDP	right
2.4.1.222-RXN	EGF-Domain-Protein-GlcNAC-beta13-Fuc-Ser-Thr	right
2.4.1.222-RXN	PROTON	right
RXN-12401	Xyloglucan	left
RXN-12401	WATER	left
RXN-12401	CPD-13418	right
RXN-12401	CPD-13417	right
RXN-12401	CPD-13377	right
2.7.1.151-RXN	INOSITOL-1-4-5-TRISPHOSPHATE	left
2.7.1.151-RXN	ATP	left
2.7.1.151-RXN	PROTON	right
2.7.1.151-RXN	INOSITOL-1456-TETRAKISPHOSPHATE	right
2.7.1.151-RXN	ADP	right
1.2.3.14-RXN	CPD-692	left
1.2.3.14-RXN	WATER	left
1.2.3.14-RXN	OXYGEN-MOLECULE	left
1.2.3.14-RXN	PROTON	right
1.2.3.14-RXN	CPD-693	right
1.2.3.14-RXN	HYDROGEN-PEROXIDE	right
RXN-15045	OLEOYL-COA	left
RXN-15045	GLYCEROL-3P	left
RXN-15045	L-1-LYSOPHOSPHATIDATE	right
RXN-15045	CO-A	right
HEMEOSYN-RXN	PROTOHEME	left
HEMEOSYN-RXN	FARNESYL-PP	left
HEMEOSYN-RXN	WATER	left
HEMEOSYN-RXN	CPD-17063	right
HEMEOSYN-RXN	PPI	right
RXN-10967	CPD-11932	left
RXN-10967	WATER	left
RXN-10967	CPD-11561	right
RXN-10967	AMP	right
RXN-10967	PROTON	right
ACSERLY-RXN	ACETYLSERINE	left
ACSERLY-RXN	HS	left
ACSERLY-RXN	PROTON	right
ACSERLY-RXN	CYS	right
ACSERLY-RXN	ACET	right
ACETATE--COA-LIGASE-RXN	CO-A	left
ACETATE--COA-LIGASE-RXN	ACET	left
ACETATE--COA-LIGASE-RXN	ATP	left
ACETATE--COA-LIGASE-RXN	ACETYL-COA	right
ACETATE--COA-LIGASE-RXN	PPI	right
ACETATE--COA-LIGASE-RXN	AMP	right
RXN-20616	S-ADENOSYLMETHIONINE	left
RXN-20616	Histone-H3-K4	left
RXN-20616	ADENOSYL-HOMO-CYS	right
RXN-20616	Histone-H3-K4m3	right
RXN-20616	PROTON	right
RXN-9222	ALL-TRANS-HEPTAPRENYL-DIPHOSPHATE	left
RXN-9222	4-hydroxybenzoate	left
RXN-9222	CPD-9852	right
RXN-9222	PPI	right
RXN-22839	2-KETOGLUTARATE	left
RXN-22839	Protein-Histidines	left
RXN-22839	OXYGEN-MOLECULE	left
RXN-22839	Protein-S3-hydroxy-L-histidine	right
RXN-22839	CARBON-DIOXIDE	right
RXN-22839	SUC	right
RXN-8090	CPD-7614	left
RXN-8090	OXYGEN-MOLECULE	left
RXN-8090	WATER	left
RXN-8090	PROTON	right
RXN-8090	CPD-7615	right
RXN-8090	HYDROGEN-PEROXIDE	right
RXN-8325	CPD-8093	left
RXN-8325	OXYGEN-MOLECULE	left
RXN-8325	FERROCYTOCHROME-B5	left
RXN-8325	PROTON	left
RXN-8325	1-183-2-183-SN-GLYCEROL-PHOSPHOCHOLINE	right
RXN-8325	WATER	right
RXN-8325	FERRICYTOCHROME-B5	right
RXN-7740	CPD-7061	left
RXN-7740	OXYGEN-MOLECULE	left
RXN-7740	Reduced-ferredoxins	left
RXN-7740	PROTON	left
RXN-7740	CPD-7063	right
RXN-7740	Oxidized-ferredoxins	right
RXN-20150	Protein-S-Acyl-Cysteines	left
RXN-20150	ACETYL-COA	left
RXN-20150	3-Oxoacyl-CoAs	right
RXN-20150	PROT-CYS	right
RXN-14188	5-HYDROXY-CTP	left
RXN-14188	WATER	left
RXN-14188	CPD-15158	right
RXN-14188	PPI	right
RXN-14188	PROTON	right
RXN-13417	N-4-aminobutylidene-eIF5A-lysine	left
RXN-13417	NADH	left
RXN-13417	PROTON	left
RXN-13417	CPD-9973	right
RXN-13417	NAD	right
RXN-16049	CPD-17293	left
RXN-16049	OXYGEN-MOLECULE	left
RXN-16049	Reduced-ferredoxins	left
RXN-16049	PROTON	left
RXN-16049	CPD-17292	right
RXN-16049	WATER	right
RXN-16049	Oxidized-ferredoxins	right
RXN-16805	Ferrihemoglobins	left
RXN-16805	NITRIC-OXIDE	left
RXN-16805	OH	left
RXN-16805	Ferrohemoglobins	right
