Lab.ID	BIOCYC.ID	Compound.name	mz	RT	CAS.ID	HMDB.ID	KEGG.ID	Formula	mz.pos	mz.neg	Submitter	Synonyms	monisotopic_molecular_weight	SMILES.ID	INCHI.ID	INCHIKEY.ID	Kingdom	Super_class	Class	Sub_class	direct_parent	molecular_framework	classyfire_status	classyfire_source	source
D-xylofuranose	D-xylofuranose	D-xylofuranose	150.0528234315					C5H10O5			plantcyc <https://plantcyc.org/>		150.0528234315	C(O)[C@@H]1([C@@H]([C@H](C(O)O1)O)O)		HMFHBZSHGGEWLO-IOVATXLUSA-N									PlantCyc/PMN local PGDB
All-trans-3-hydroxyretinal	All-trans-3-hydroxyretinal	all-trans -3-hydroxyretinal	300.208930143					C20H28O2			plantcyc <https://plantcyc.org/>	3-hydroxy- all-trans -retinal	300.208930143	CC(/C=C/C1(/C(C)(C)CC(O)CC(/C)=1))=C\C=C\C(/C)=C\C=O											PlantCyc/PMN local PGDB
L-Fucopyranoses	L-Fucopyranoses	L-fucopyranose	164.0684734957					C6H12O5			plantcyc <https://plantcyc.org/>	6-deoxy-L-galactose // L-galactomethylose	164.0684734957	C[C@@H]1(OC([C@H]([C@@H]([C@@H]1O)O)O)O)											PlantCyc/PMN local PGDB
CPD0-2227	CPD0-2227	an octadecenoyl-CoA (n-C18:1CoA)	1031.3605240149					C39H64N7O17P3S			plantcyc <https://plantcyc.org/>		1031.3605240149	CCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]		NBCCUIHOHUKBMK-LFZQUHGESA-J									PlantCyc/PMN local PGDB
D-Mannopyranuronate	D-Mannopyranuronate	D-mannopyranuronate	194.0426526757					C6H9O7			plantcyc <https://plantcyc.org/>	D-mannopyranuronic acid	194.0426526757	C([O-])(=O)[C@H]1(OC(O)[C@@H](O)[C@@H](O)[C@H](O)1)		AEMOLEFTQBMNLQ-VANFPWTGSA-M									PlantCyc/PMN local PGDB
12-Hydroxyjasmonate-Sulfates	12-Hydroxyjasmonate-Sulfates	a 12-hydroxyjasmonate sulfate	306.0773236225					C12H16O7S			plantcyc <https://plantcyc.org/>	a 12-OHJA sulfate // a 12-hydroxyjasmonic acid sulfate // a SO4-hydroxy-JA // a 12-hydroxy-JA sulfate	306.0773236225	C(OS(=O)(=O)[O-])C\C=C/CC1(C(=O)CCC1CC([O-])=O)		MLUJBNROAVANKK-UPHRSURJSA-L									PlantCyc/PMN local PGDB
MELANIN	MELANIN	melanin	318.0640568198					C18H10N2O4			plantcyc <https://plantcyc.org/>		318.0640568198	CC3(/C(C(C4(/C1(C5(\C(\NC=1)=C(C)/C(C(C(/C2(C(\C(\NC=2)=3)=4))=5)=O)=O))))=O)=O)											PlantCyc/PMN local PGDB
Farnesols	Farnesols	a farnesol	222.1983654567					C15H26O			plantcyc <https://plantcyc.org/>		222.1983654567	CC(C)=CCCC(\C)=C/CCC(/C)=C/CO											PlantCyc/PMN local PGDB
HEME_O	HEME_O	heme o	840.3913131573					C49H56N4O5FE			plantcyc <https://plantcyc.org/>		840.3913131573	C=CC3(\C7(\[N+]4(\[Fe]16([N+]5(\C(/C(\CCC(=O)[O-])=C(C)\C(/C=C2(C(\C)=C(C(\N12)=C\C(\C(/C)=3)=4)/[C@@H](O)CC/C=C(C)/CC/C=C(C)/CCC=C(C)C))=5)=C/C8(/N6C(/C=7)=C(C)/C(\CCC(=O)[O-])=8))))))		FRKORVCRVCLRBA-ARQJTVBPSA-J									PlantCyc/PMN local PGDB
CPD-16569	CPD-16569	kojibiose	342.1162115493					C12H22O11			plantcyc <https://plantcyc.org/>	2-alpha-D-glucosyl-D-glucose // alpha-D-glucopyranosyl-(1->2)-D-glucopyranose	342.1162115493	C(O)[C@H]2(OC(O)[C@H](O[C@@H]1([C@H](O)[C@H]([C@H](O)[C@@H](CO)O1)O))[C@@H](O)[C@H](O)2)											PlantCyc/PMN local PGDB
