prefix	archive	pgdb_id	version	organism	raw_compounds	ms1_database_records	ms2_database_records	removed_from_ms1	ms2_eligible_compounds	coa_retained_for_ms2	pathways	reactions	pathway_compound_links	ms1_file	ms2_file	pathway_file	local_object_file
plantcyc_ath	aracyc.tar	aracyc	18.0.2	Arabidopsis thaliana	5712	2905	500	2807	2999	94	640	3883	13265	plantcyc_ath_ms1.rda	plantcyc_ath_ms2.rda	plantcyc_ath_pathway.rda	plantcyc_ath_local_object.rda
plantcyc_tae	breadwheatcyc.tar	breadwheatcyc	5.0.0	Triticum aestivum (bread wheat)	5207	2672	483	2535	2762	90	530	3530	10696	plantcyc_tae_ms1.rda	plantcyc_tae_ms2.rda	plantcyc_tae_pathway.rda	plantcyc_tae_local_object.rda
plantcyc_zma	corncyc.tar	corncyc	13.0.0	Zea mays (maize)	5389	2647	473	2742	2735	88	524	3559	10936	plantcyc_zma_ms1.rda	plantcyc_zma_ms2.rda	plantcyc_zma_pathway.rda	plantcyc_zma_local_object.rda
plantcyc_ftt	fagopyrumtataricumcyc.tar	fagopyrumtataricumcyc	1.0.0	Fagopyrum tataricum	4930	2449	431	2481	2542	93	503	3208	9892	plantcyc_ftt_ms1.rda	plantcyc_ftt_ms2.rda	plantcyc_ftt_pathway.rda	plantcyc_ftt_local_object.rda
plantcyc_ghi	gossypium_hirsutumcyc.tar	gossypium_hirsutumcyc	1.0.0	Gossypium hirsutum	5156	2616	481	2540	2702	86	515	3456	10152	plantcyc_ghi_ms1.rda	plantcyc_ghi_ms2.rda	plantcyc_ghi_pathway.rda	plantcyc_ghi_local_object.rda
plantcyc_bna	oilseedrapecyc.tar	oilseedrapecyc	5.0.0	Brassica napus (oilseed rape)	5151	2582	458	2569	2688	106	521	3513	11063	plantcyc_bna_ms1.rda	plantcyc_bna_ms2.rda	plantcyc_bna_pathway.rda	plantcyc_bna_local_object.rda
plantcyc_osa	oryzacyc.tar	oryzacyc	9.0.0	Oryza sativa (rice)	5381	2638	467	2743	2741	103	535	3543	11099	plantcyc_osa_ms1.rda	plantcyc_osa_ms2.rda	plantcyc_osa_pathway.rda	plantcyc_osa_local_object.rda
plantcyc_ref	plantcyc.tar	plantcyc	17.0.0	PlantCyc reference database	9408	4933	723	4475	5096	163	1162	5492	24352	plantcyc_ref_ms1.rda	plantcyc_ref_ms2.rda	plantcyc_ref_pathway.rda	plantcyc_ref_local_object.rda
plantcyc_gma	soycyc.tar	soycyc	12.0.0	Glycine max (soybean)	5436	2666	479	2770	2763	97	557	3616	11313	plantcyc_gma_ms1.rda	plantcyc_gma_ms2.rda	plantcyc_gma_pathway.rda	plantcyc_gma_local_object.rda
plantcyc_sly	tomatocyc.tar	tomatocyc	8.0.0	Solanum lycopersicum (tomato)	5156	2649	463	2507	2754	105	552	3510	11170	plantcyc_sly_ms1.rda	plantcyc_sly_ms2.rda	plantcyc_sly_pathway.rda	plantcyc_sly_local_object.rda
