Lab.ID	BIOCYC.ID	Compound.name	mz	RT	CAS.ID	HMDB.ID	KEGG.ID	Formula	mz.pos	mz.neg	Submitter	Synonyms	monisotopic_molecular_weight	SMILES.ID	INCHI.ID	INCHIKEY.ID	Kingdom	Super_class	Class	Sub_class	direct_parent	molecular_framework	classyfire_status	classyfire_source	source
N-methyl-DL-aspartate	N-methyl-DL-aspartate	N -methyl-DL-aspartate	147.0531577825					C5H7NO4			plantcyc <https://plantcyc.org/>	N-methyl-aspartic acid	147.0531577825	CNC(CC(=O)[O-])C(=O)[O-]											PlantCyc/PMN local PGDB
2-Dehydropyranoses	2-Dehydropyranoses	a 2-dehydropyranose	178.0477380536					C6H10O6			plantcyc <https://plantcyc.org/>		178.0477380536	C(O)C1(C(O)C(O)C(=O)C(O)O1)		FYWIDDXZIOQEQU-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Hexoses	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
Heme-b	Heme-b	heme b	618.1929477006					C34H30N4O4FE			plantcyc <https://plantcyc.org/>		618.1929477006	C=CC4(\C(/C)=C5(\C=C6(C(/C)=C(CCC(=O)[O-])/C7(\C=C8(C(/CCC(=O)[O-])=C(C)/C1(/N([Fe]3(N(C(/C=C2(C(/C)=C(C=C)/C(\C=1)=[N+]2/3))=4)5)([N+]/6=7))8))))))		YHLKGEDAGPGZPN-RGGAHWMASA-J	Organic compounds	Organoheterocyclic compounds	Tetrapyrroles and derivatives	Metallotetrapyrroles	Metalloporphyrins	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
D-Fucoses	D-Fucoses	D-fucose	164.0684734957					C6H12O5			plantcyc <https://plantcyc.org/>	6-deoxy-D-galactose	164.0684734957	C[C@H]([C@H](O)[C@H](O)[C@H](C=O)O)O		PNNNRSAQSRJVSB-DPYQTVNSSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Hexoses	Aliphatic acyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
CPD-18970	CPD-18970	dehydrodiconiferyl acid carboxylate	386.1001675546					C20H16O8			plantcyc <https://plantcyc.org/>	DCA-CC // 5-[(1E)-2-carboxyeth-1-en-1-yl]-2-(4-hydroxy-3-methoxyphenyl)-7-methoxy-2,3-dihydro-1-benzofuran-3-carboxylate	386.1001675546	COC1(\C(\O)=C/C=C(/C=1)/C2(OC3(C(/OC)=C\C(/C=C/C([O-])=O)=CC(C(C([O-])=O)2)=3)))		JTHPLBUVRLOJBB-ZZXKWVIFSA-L							not_found	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
3-HYDROXY-ISOBUTYRATE	3-HYDROXY-ISOBUTYRATE	3-hydroxy-isobutanoate	104.0473441231					C4H7O3			plantcyc <https://plantcyc.org/>	3-hydroxy-isobutyrate // 3-hydroxyisobutyric acid // 3-hydroxy-2-methylpropanoate	104.0473441231	CC(C([O-])=O)CO		DBXBTMSZEOQQDU-UHFFFAOYSA-M	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Beta hydroxy acids and derivatives	Beta hydroxy acids and derivatives	Aliphatic acyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
CPD1G-252	CPD1G-252	a trans -methoxy-C60-meroacyl-adenylate	1215.9606173079					C70H129N5O9P			plantcyc <https://plantcyc.org/>		1215.9606173079	CCCCCCCCCCCCCCCCCCC(C)C(OC)CCCCCCCCCCCCCCCC(C)C4(CC(CCCCCCCCCCCCCCCCCC(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))([O-])=O)=O)4)		GFCMIDIMFCTAQL-ANSBXWRMSA-M							not_found	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
CPD-11803	CPD-11803	( RS )-phospho-3-sulfolactate	249.9548390236					C3H3O9PS			plantcyc <https://plantcyc.org/>	(2 RS )- O -phospho-3-sulfolactate // (2 RS )-2- O -phosphonato-3-sulfonatolactate // ( RS )-phosphosulfolactate	249.9548390236	C([O-])(=O)C(CS(=O)(=O)[O-])OP([O-])([O-])=O											PlantCyc/PMN local PGDB
D-myo-inositol-pentakisphosphates	D-myo-inositol-pentakisphosphates	a D myo -inositol penta kis phosphate	579.8950401598					C6H7O21P5			plantcyc <https://plantcyc.org/>		579.8950401598	C1(O)(C(OP([O-])(=O)[O-])C(OP(=O)([O-])[O-])C(OP(=O)([O-])[O-])C(OP([O-])([O-])=O)C(OP([O-])([O-])=O)1)		CTPQAXVNYGZUAJ-UHFFFAOYSA-D	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Inositol phosphates	Aliphatic homomonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
D-galactopyranose-6-phosphate	D-galactopyranose-6-phosphate	D-galactopyranose 6-phosphate	260.0297185262					C6H11O9P			plantcyc <https://plantcyc.org/>		260.0297185262	C(OP([O-])([O-])=O)[C@H]1(OC([C@@H]([C@H]([C@H]1O)O)O)O)											PlantCyc/PMN local PGDB
