PlantCyc.ID	reaction_id	pathway_id	side	Compound.name	KEGG.ID	PubChem.ID	ChEBI.ID
GDP	2.4.1.83-RXN	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	right	GDP	C00035	135398618	58189
GDP	2.4.1.142-RXN	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	right	GDP	C00035	135398618	58189
GDP	PPGPPSYN-RXN	PPGPPMET-PWY	right	GDP	C00035	135398618	58189
GDP	RXN-5463	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	right	GDP	C00035	135398618	58189
GDP	ADENYLOSUCCINATE-SYNTHASE-RXN	PWY-7219	right	GDP	C00035	135398618	58189
GDP	GDPPYPHOSKIN-RXN	PPGPPMET-PWY	left	GDP	C00035	135398618	58189
GDP	GDPKIN-RXN	PPGPPMET-PWY	left	GDP	C00035	135398618	58189
GDP	URKI-RXN	PWYQT-4445	right	GDP	C00035	135398618	58189
GDP	RXNQT-4141	PWY-882	right	GDP	C00035	135398618	58189
GDP	RXN-9463	PWY-5936	right	GDP	C00035	135398618	58189
GDP	RXN4FS-8	PWY4FS-11	right	GDP	C00035	135398618	58189
GDP	GDPREDUCT-RXN	PWY-7226	right	GDP	C00035	135398618	58189
GDP	GUANYL-KIN-RXN	PWY-7221	right	GDP	C00035	135398618	58189
GDP	RXN-5462	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	right	GDP	C00035	135398618	58189
GDP	RXN-5464	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	right	GDP	C00035	135398618	58189
GDP	GDPKIN-RXN	PWY-7221	left	GDP	C00035	135398618	58189
GTP	ADENYLOSUCCINATE-SYNTHASE-RXN	PWY-7219	left	GTP	C00044	135398632	37565
GTP	URKI-RXN	PWYQT-4445	left	GTP	C00044	135398632	37565
GTP	GTPPYPHOSKIN-RXN	PPGPPMET-PWY	left	GTP	C00044	135398632	37565
GTP	GTP-CYCLOHYDRO-I-RXN	PWY-6147	left	GTP	C00044	135398632	37565
GTP	GTP-CYCLOHYDRO-II-RXN	RIBOSYN2-PWY	left	GTP	C00044	135398632	37565
GTP	RXN-8340	PWY-6823	left	GTP	C00044	135398632	37565
GTP	GDPKIN-RXN	PWY-7221	right	GTP	C00044	135398632	37565
GTP	2.7.7.34-RXN	PWY-5661	left	GTP	C00044	135398632	37565
GTP	RXN-11409	PWY-6502	left	GTP	C00044	135398632	37565
GTP	RXN0-6427	PPGPPMET-PWY	right	GTP	C00044	135398632	37565
GTP	GDPKIN-RXN	PPGPPMET-PWY	right	GTP	C00044	135398632	37565
GTP	2.7.7.13-RXN	PWY-5659	left	GTP	C00044	135398632	37565
GTP	GTP-CYCLOHYDRO-I-RXN	PWY-3742	left	GTP	C00044	135398632	37565
GTP	2.7.7.30-RXN	PWY-6	left	GTP	C00044	135398632	37565
ADP	DTMPKI-RXN	PWY-7187	right	ADP	C00008	7058055	456216
ADP	RXN-7614	PWY-5791	right	ADP	C00008	7058055	456216
