reaction_id	PlantCyc.ID	side
RXN-14834	S-ADENOSYLMETHIONINE	left
RXN-14834	CPD-8924	left
RXN-14834	CPD-15741	right
RXN-14834	ADENOSYL-HOMO-CYS	right
RXN-14834	PROTON	right
RXN-12362	BUTANOL	left
RXN-12362	ACETYL-COA	left
RXN-12362	CPD-13346	right
RXN-12362	CO-A	right
RXN-18624	CPD-19899	left
RXN-18624	ACETYL-COA	left
RXN-18624	CPD-19895	right
RXN-18624	CO-A	right
RXN-16393	DODECANOATE	left
RXN-16393	CO-A	left
RXN-16393	ATP	left
RXN-16393	LAUROYLCOA-CPD	right
RXN-16393	PPI	right
RXN-16393	AMP	right
MBCOA-DHLIPOAMIDE-RXN	2-METHYL-BUTYRYL-COA	left
MBCOA-DHLIPOAMIDE-RXN	BCAA-dehydrogenase-DH-lipoyl	left
MBCOA-DHLIPOAMIDE-RXN	BCAA-dehydrogenase-2MB-DH-lipoyl	right
MBCOA-DHLIPOAMIDE-RXN	CO-A	right
1.1.1.178-RXN	NAD	left
1.1.1.178-RXN	2-METHYL-3-HYDROXY-BUTYRYL-COA	left
1.1.1.178-RXN	PROTON	right
1.1.1.178-RXN	NADH	right
1.1.1.178-RXN	2-METHYL-ACETO-ACETYL-COA	right
RXN-15131	L-CYSTATHIONINE	left
RXN-15131	2-AMINOACRYLATE	right
RXN-15131	HOMO-CYS	right
RXN-12064	INDOLE-3-ACETALDOXIME	left
RXN-12064	CPD-13028	right
RXN-24256	COUMARATE	left
RXN-24256	WATER	left
RXN-24256	CPD-26833	right
RXN-8138	CPD-7137	left
RXN-8138	CAFFEOYL-COA	left
RXN-8138	CPD-7140	right
RXN-8138	CO-A	right
RXN-23918	CPD-20105	left
RXN-23918	GLN-tRNAs	left
RXN-23918	L-glutamyl-tRNAGln	right
RXN-23918	AMP	right
RXN-23918	PROTON	right
RXN-8277	CPD-8046	left
RXN-8277	CPD-458	left
RXN-8277	CPD-8047	right
RXN-8277	MYO-INOSITOL	right
RXN-12816	CPD-13853	left
RXN-12816	WATER	left
RXN-12816	CPD-12365	right
RXN-12816	Pi	right
RXN-12816	PROTON	right
RXN-8022	CPD1F-98	left
RXN-8022	Acceptor	left
RXN-8022	NEUROSPORENE	right
RXN-8022	Donor-H2	right
12-OXOPHYTODIENOATE-REDUCTASE-RXN	NADP	left
12-OXOPHYTODIENOATE-REDUCTASE-RXN	CPD-730	left
12-OXOPHYTODIENOATE-REDUCTASE-RXN	PROTON	right
