Lab.ID	BIOCYC.ID	Compound.name	mz	RT	CAS.ID	HMDB.ID	KEGG.ID	Formula	mz.pos	mz.neg	Submitter	Synonyms	monisotopic_molecular_weight	SMILES.ID	INCHI.ID	INCHIKEY.ID	Kingdom	Super_class	Class	Sub_class	direct_parent	molecular_framework	classyfire_status	classyfire_source	source
Jasmonoyl-Valines	Jasmonoyl-Valines	a jasmonoyl-L-valine	309.1940083603					C17H26NO4			plantcyc <https://plantcyc.org/>	a jasmonate-valine // a jasmonic acid-valine // a jasmonic acid-valine conjugate // a jasmonyl-valine // a JA-Val	309.1940083603	CC\C=C/CC1(C(=O)CCC1CC(N[C@@H](C(C)C)C([O-])=O)=O)		LZPFFKBGBPBJAW-KHXRIMTESA-M	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Valine and derivatives	Aliphatic homomonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
UDP-L-arabinofuranose	UDP-L-arabinofuranose	UDP-L-arabinofuranose	536.0444556902					C14H20N2O16P2			plantcyc <https://plantcyc.org/>		536.0444556902	C(O)[C@H]1([C@H](O)[C@@H](O)C(O1)OP(OP(OC[C@@H]3([C@H]([C@H]([C@H](N2(\C=C/C(=O)NC2=O))O3)O)O))(=O)[O-])(=O)[O-])		QGNZSCRNMXQWNR-OKQNPRBNSA-L	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine nucleotide sugars	Pyrimidine nucleotide sugars	Aromatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD0-2101	CPD0-2101	5,6,7,8-tetrahydromonapterin	257.1124039959					C9H15N5O4			plantcyc <https://plantcyc.org/>	H 4 -MPt // tetrahydromonapterin	257.1124039959	C1(NC2(/N=C(N)\NC(=O)C(/NC1[C@H](O)[C@@H](O)CO)=2))		XHIXPVCTDRNTTC-YQVKZWHSSA-N	Organic compounds	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives	Biopterins and derivatives	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
D-Ketopentoses	D-Ketopentoses	a D-ketopentose	150.0528234315					C5H10O5			plantcyc <https://plantcyc.org/>		150.0528234315	C(O)[C@@H](O)C(O)C(=O)CO		ZAQJHHRNXZUBTE-VXPOTGITSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Pentoses	Aliphatic acyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
Ketohexoses	Ketohexoses	a ketohexose	180.0633881178					C6H12O6			plantcyc <https://plantcyc.org/>		180.0633881178	C(O)C(=O)C(O)C(O)C(O)CO		BJHIKXHVCXFQLS-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Aliphatic acyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
TETRA-H-BIOPTERIN	TETRA-H-BIOPTERIN	5,6,7,8-tetrahydrobiopterin	241.1174893738					C9H15N5O3			plantcyc <https://plantcyc.org/>	a 5,6,7,8-tetrahydrobiopterin // phenylalanine hydroxylase cofactor // tetrahydrobiopterin // 5,6,7,8-tetra-H-biopterin // tetra-H-biopterin // tetra-hydro-biopterin // (6R)-5,6,7,8-tetrahydrobiopterin	241.1174893738	CC(O)C(O)[C@H]1(CNC2(/N=C(N)\NC(C(/N1)=2)=O))		FNKQXYHWGSIFBK-NHTYNGABSA-N	Organic compounds	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives	Biopterins and derivatives	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-10198	CPD-10198	furaneol	128.0473441231					C6H8O3			plantcyc <https://plantcyc.org/>	2,5-dimethyl-4-hydroxy-3( 2H )-furanone // HDMF // 4-hydroxy-2,5-dimethyl-3(2H)-furanone // pineapple ketone // strawberry furanone // 4-hydroxy-2,5-dimethylfuran-3-one	128.0473441231	CC1(C(=O)C(/O)=C(C)\O1)		INAXVXBDKKUCGI-UHFFFAOYSA-N	Organic compounds	Organoheterocyclic compounds	Dihydrofurans	Furanones	Furanones	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
L-XYLOSE	L-XYLOSE	L-xylose	150.0528234315					C5H10O5			plantcyc <https://plantcyc.org/>	L-xylo-pentose	150.0528234315	C(=O)[C@@H](O)[C@H](O)[C@@H](O)CO		PYMYPHUHKUWMLA-WISUUJSJSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Pentoses	Aliphatic acyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
D-arabinofuranose	D-arabinofuranose		150.0528234315					C5H10O5			plantcyc <https://plantcyc.org/>		150.0528234315	C(O)[C@@H]1([C@@H](O)[C@H](O)C(O)O1)		HMFHBZSHGGEWLO-ZRMNMSDTSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Pentoses	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
C28-22S-hydroxysteroid	C28-22S-hydroxysteroid	a (22 S )-22-hydroxy-C 28 -steroid	402.3861662271					C28H50O			plantcyc <https://plantcyc.org/>		402.3861662271	CC(C)C(C)C[C@H](O)C(C)C3(CCC4(C2(CCC1(CCCCC(C)1C2CCC(C)34))))		XCYIMZFGSRPMQH-YVXPVVMSSA-N	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergostane steroids	Ergostane steroids	Aliphatic homopolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
L-idopyranuronate	L-idopyranuronate	L-idopyranuronate	194.0426526757					C6H9O7			plantcyc <https://plantcyc.org/>	L-idopyranuronic acid	194.0426526757	C([O-])(=O)[C@@H]1(OC(O)[C@H](O)[C@@H](O)[C@H](O)1)		AEMOLEFTQBMNLQ-HNFCZKTMSA-M	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glucuronic acid derivatives	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
4a-Hydroxytetrahydrobiopterins	4a-Hydroxytetrahydrobiopterins	a 4a-hydroxytetrahydrobiopterin	257.1124039959					C9H15N5O4			plantcyc <https://plantcyc.org/>		257.1124039959	CC(O)C(O)[C@H]2(CNC1(\[C@](O)(C(\N=C(N)/N=1)=O)N2))		KJKIEFUPAPPGBC-ATDKUNPGSA-N	Organic compounds	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives	Biopterins and derivatives	Aliphatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
Hexose-1-Phosphate	Hexose-1-Phosphate	a hexose 1-phosphate	260.0297185262					C6H11O9P			plantcyc <https://plantcyc.org/>		260.0297185262	C(O)C1(OC(OP([O-])(=O)[O-])C(O)C(O)C(O)1)		HXXFSFRBOHSIMQ-UHFFFAOYSA-L	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharide phosphates	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
N-acetyl-D-hexosamines	N-acetyl-D-hexosamines	an N -acetyl-D-hexosamine	221.0899372193					C8H15NO6			plantcyc <https://plantcyc.org/>		221.0899372193	CC(NC1(C(C([C@H](OC1O)CO)O)O))=O		OVRNDRQMDRJTHS-BKJPEWSUSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Acylaminosugars	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
Methyl-Jasmonates	Methyl-Jasmonates	a methyl jasmonate	224.1412445083					C13H20O3			plantcyc <https://plantcyc.org/>	a jasmonic acid methyl ester // a jasmonate methyl ester // an MeJA	224.1412445083	CC\C=C/CC1(C(=O)CCC1CC(OC)=O)		GEWDNTWNSAZUDX-PLNGDYQASA-N	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives	Jasmonic acids	Aliphatic homomonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
DIOH-ISOVALERATE	DIOH-ISOVALERATE	2,3-dihydroxy-3-methylbutanoate	134.0579088094					C5H9O4			plantcyc <https://plantcyc.org/>	2,3-dihydroxy-isovalerate // alpha,beta-dihydroxy-isovalerate	134.0579088094	CC(C)(O)C(O)C(=O)[O-]			Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Polyprenols	Polyprenyl phospho carbohydrates	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
GLUCOSE-16-DIPHOSPHATE	GLUCOSE-16-DIPHOSPHATE	glucose-1,6-bisphosphate	339.9960489346					C6H10O12P2			plantcyc <https://plantcyc.org/>	glucose-1,6-diphosphate	339.9960489346	C(OP([O-])(=O)[O-])[C@H]1(OC([C@@H]([C@H]([C@@H]1O)O)O)OP(=O)([O-])[O-])			Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Polyprenols	Polyprenyl phospho carbohydrates	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
