PlantCyc.ID	reaction_id	pathway_id	side	Compound.name	KEGG.ID	PubChem.ID	ChEBI.ID
2-PG	3PGAREARR-RXN	PWY-5723	left	2-phospho-D-glycerate	C00631	40467846	58289
2-PG	3PGAREARR-RXN	GLUCONEO-PWY	left	2-phospho-D-glycerate	C00631	40467846	58289
2-PG	2PGADEHYDRAT-RXN	GLYCOLYSIS	left	2-phospho-D-glycerate	C00631	40467846	58289
2-PG	2PGADEHYDRAT-RXN	PWY-5723	left	2-phospho-D-glycerate	C00631	40467846	58289
2-PG	2PGADEHYDRAT-RXN	PWY-1042	left	2-phospho-D-glycerate	C00631	40467846	58289
2-PG	3PGAREARR-RXN	GLYCOLYSIS	left	2-phospho-D-glycerate	C00631	40467846	58289
2-PG	RXN-15513	GLYCOLYSIS	left	2-phospho-D-glycerate	C00631	40467846	58289
2-PG	3PGAREARR-RXN	PWY-1042	left	2-phospho-D-glycerate	C00631	40467846	58289
2-PG	2PGADEHYDRAT-RXN	GLUCONEO-PWY	left	2-phospho-D-glycerate	C00631	40467846	58289
G3P	PHOSGLYPHOS-RXN	GLUCONEO-PWY	left	3-phospho-D-glycerate	C00197	25245548	58272
G3P	GLY3KIN-RXN	PWY-181	right	3-phospho-D-glycerate	C00197	25245548	58272
G3P	PHOSGLYPHOS-RXN	PWY-1042	left	3-phospho-D-glycerate	C00197	25245548	58272
G3P	RXN-15513	GLYCOLYSIS	right	3-phospho-D-glycerate	C00197	25245548	58272
G3P	PHOSGLYPHOS-RXN	GLYCOLYSIS	left	3-phospho-D-glycerate	C00197	25245548	58272
G3P	PGLYCDEHYDROG-RXN	SERSYN-PWY	left	3-phospho-D-glycerate	C00197	25245548	58272
G3P	PHOSGLYPHOS-RXN	SUCSYN-PWY	left	3-phospho-D-glycerate	C00197	25245548	58272
G3P	3-PHOSPHOGLYCERATE-PHOSPHATASE-RXN	PWY-8011	left	3-phospho-D-glycerate	C00197	25245548	58272
G3P	3PGAREARR-RXN	PWY-1042	right	3-phospho-D-glycerate	C00197	25245548	58272
