Lab.ID	BIOCYC.ID	Compound.name	mz	RT	CAS.ID	HMDB.ID	KEGG.ID	Formula	mz.pos	mz.neg	Submitter	Synonyms	monisotopic_molecular_weight	SMILES.ID	INCHI.ID	INCHIKEY.ID	Kingdom	Super_class	Class	Sub_class	direct_parent	molecular_framework	classyfire_status	classyfire_source	source
L-xylopyranose	L-xylopyranose	L-xylopyranose	150.0528234315					C5H10O5			plantcyc <https://plantcyc.org/>		150.0528234315	C1(O)(OC[C@H](O)[C@@H](O)[C@H](O)1)			Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Polyprenols	Polyprenyl phospho carbohydrates	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
6-7-Dihydrobiopterins	6-7-Dihydrobiopterins	6,7-dihydrobiopterin	239.1018393096					C9H13N5O3			plantcyc <https://plantcyc.org/>	a 6,7-dihydrobiopterin // quinoid dihydrobiopterin // q-dihydrobiopterin	239.1018393096	CC(O)C(O)C2(CNC1(\C(\C(=O)\N=C(N)/N=1)=N/2))		ZHQJVZLJDXWFFX-UHFFFAOYSA-N	Organic compounds	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives	Biopterins and derivatives	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD0-1561	CPD0-1561	selenocysteine	168.9642002741					C3H7NO2SE			plantcyc <https://plantcyc.org/>	3-selenyl-alanine // D,L-selenocysteine // selenium-cystine	168.9642002741	C([SeH])C([NH3+])C([O-])=O		ZKZBPNGNEQAJSX-UHFFFAOYSA-N	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acids	Aliphatic acyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
Thiazoles	Thiazoles	a thiazole	84.9986197915					C3H3NS			plantcyc <https://plantcyc.org/>		84.9986197915	C1(\N=C/S\C=1)			Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Polyprenols	Polyprenyl phospho carbohydrates	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
4a-Hydroxytetrahydrobiopterins	4a-Hydroxytetrahydrobiopterins	a 4a-hydroxytetrahydrobiopterin	257.1124039959					C9H15N5O4			plantcyc <https://plantcyc.org/>		257.1124039959	CC(O)C(O)[C@H]2(CNC1(\[C@](O)(C(\N=C(N)/N=1)=O)N2))		KJKIEFUPAPPGBC-ATDKUNPGSA-N	Organic compounds	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives	Biopterins and derivatives	Aliphatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
D-Fructopyranose	D-Fructopyranose	D-fructopyranose	180.0633881178					C6H12O6			plantcyc <https://plantcyc.org/>		180.0633881178	C(O)C1(O)(OC[C@@H](O)[C@@H](O)[C@H](O)1)			Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Polyprenols	Polyprenyl phospho carbohydrates	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
Hexitols	Hexitols	a hexitol	182.079038182					C6H14O6			plantcyc <https://plantcyc.org/>		182.079038182	C(C(C(C(C(CO)O)O)O)O)O			Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Polyprenols	Polyprenyl phospho carbohydrates	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-16348	CPD-16348	3-hydroxytetracosanoyl-CoA	1133.4649890864					C45H78N7O18P3S			plantcyc <https://plantcyc.org/>		1133.4649890864	CCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC([C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@@H]1([C@@H](OP(=O)([O-])[O-])[C@@H](O)[C@@H](O1)N2(\C=N/C3(C(/N)=N\C=N/C2=3))))=O			Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Polyprenols	Polyprenyl phospho carbohydrates	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
MELANIN	MELANIN	melanin	318.0640568198					C18H10N2O4			plantcyc <https://plantcyc.org/>		318.0640568198	CC3(/C(C(C4(/C1(C5(\C(\NC=1)=C(C)/C(C(C(/C2(C(\C(\NC=2)=3)=4))=5)=O)=O))))=O)=O)			Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Polyprenols	Polyprenyl phospho carbohydrates	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
Alpha-Hexose-1-Phosphates	Alpha-Hexose-1-Phosphates	an alpha-hexose 1-phosphate	260.0297185262					C6H11O9P			plantcyc <https://plantcyc.org/>		260.0297185262	C(O)C1(O[C@H](OP(=O)([O-])[O-])C(O)C(O)C(O)1)		HXXFSFRBOHSIMQ-SQHQMROCSA-L	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharide phosphates	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
