PlantCyc.ID	reaction_id	pathway_id	side	Compound.name	KEGG.ID	PubChem.ID	ChEBI.ID
CPD-21541	RXN-19948	PWY-6888	right	zealexin A4		135398014	
CPD-13571	RXN-19948	PWY-6888	left	zealexin A3		134820458	
CPD-13571	RXN-12607	PWY-6888	right	zealexin A3		134820458	
CPD-13571	RXN-19640	PWY-6888	left	zealexin A3		134820458	
CPD-21269	RXN-19640	PWY-6888	right	zealexin C3		134820525	
OXYGEN-MOLECULE	RXN-8305	PWY-782	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN-4209	PWY-2541	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN1F-143	PWY-5035	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN-11911	PWY-5434	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	SULFITE-OXIDASE-RXN	PWY-5326	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN-7580	PWY-5034	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN1F-162	PWY-5070	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN-2581	PWY-361	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN-7652	PWY-5060	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN-8301	PWY-782	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN-19720	PWY-2541	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN1F-165	PWY-5070	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN-4226	PWY-2582	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN-717	PWY-699	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN-713	PWY-699	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN-5284	CHLOROPHYLL-SYN	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN-525	PWY1F-823	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	L-ASPARTATE-OXID-RXN	PYRIDNUCSYN-PWY	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN-16400	PWY-6733	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN-20433	PWY18C3-1	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN-14656	PWY-7298	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN1F-163	PWY-5070	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN-23336	PWY-5410	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN-7775	PWY-6787	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN-16036	PWY-5995	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN-15382	PWY-7478	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN-9279	PWY-5872	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN-16400	PWY-1121	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	MYO-INOSITOL-OXYGENASE-RXN	PWY-4841	left	dioxygen	C00007	977	15379
OXYGEN-MOLECULE	RXN-114	PWY-102	left	dioxygen	C00007	977	15379
